Sr-O,1^2 A’,2^2 A’,3^2 A’,4^2 A’,1^2 A’’,2^2 A’’
4.85,-609.80997889,10637.6742091472,12829.962407276,13129.3696994283,12125.448840483,12923.3049680081
4.9,-581.20037951,10763.2729564568,12874.0482764823,13156.7754966529,12197.2324081744,12958.5460095701
4.95,-554.07114071,10883.8018397826,12915.566292504,13182.0962848782,12265.1312748898,12992.075149009
5,-528.26040461,10999.4627757835,12954.7622669298,13205.5559282312,12329.3693047563,13024.05040806
5.05,-503.73686238,11110.3347753334,12991.6932631531,13227.2334375732,12390.0694035588,13054.5288501227
5.1,-480.43006235,11216.5934181206,13026.5348608872,13247.2166027579,12447.3852035489,13083.5763175887
5.15,-458.27475536,11318.3484414794,13059.4187449094,13265.6371085749,12501.4483895039,13111.2586528437
5.2,-437.20897945,11415.7490881466,13090.4502630453,13282.6441977611,12552.4740465585,13137.7031511874
5.25,-417.14317141,11508.992885291,13119.8269424514,13298.32566017,12600.5938594838,13162.9976024486
5.3,-398.11885942,11598.0864171631,13147.4675775307,13312.6661325901,12645.8583074662,13187.0827484982
5.35,-380.08753777,11683.1833160021,13173.5916429142,13325.7972997863,12688.4429702005,13210.04637919
5.4,-362.83527699,11764.5667040636,13198.350576074,13337.9364416476,12728.5870750251,13232.105774388
5.45,-346.41705635,11842.2936447786,13221.8014404473,13349.0747791942,12766.3696328263,13253.230207663
5.5,-330.81359752,11916.4914334155,13244.0056889046,13359.2518178537,12801.874043949,13273.4152895128
5.55,-315.93941708,11987.2698072899,13265.0291638378,13368.5992423972,12835.2758880943,13292.7707572465
5.6,-301.77859098,12054.7802039115,13284.9355129091,13377.1368055633,12866.6607603864,13311.2944161411
5.65,-288.29559288,12119.1455290591,13303.8256944294,13384.9654656628,12896.151566604,13329.0433295773
5.7,-275.42944377,12180.5369729625,13321.7611613193,13392.1247281419,12923.8975495151,13346.0789504757
5.75,-263.20203636,12238.9611198409,13338.7265503236,13398.6431246943,12949.9272407946,13362.3639681256
5.8,-251.5565353,12294.6242758555,13354.8184302944,13404.5733292357,12974.3811042305,13377.9510564492
5.85,-240.46416725,12347.6295940776,13370.0521644556,13410.0184948374,12997.3403454137,13392.877526126
5.9,-229.89765304,12398.0451116657,13384.4518950296,13415.0466586456,13018.9168964326,13407.1675193783
5.95,-219.8314903,12446.0310450719,13397.9583638438,13419.7302472773,13039.2051313536,13420.8276204316
6,-210.24072138,12491.7015211139,13410.4003806934,13424.4467571049,13058.2752820772,13433.9061137181
6.1,-192.39345879,12576.4143393488,13427.0102208059,13439.0374306037,13093.0356742019,13458.3292507062
6.2,-176.1830023,12652.9583117978,13433.8490503186,13459.7690042826,13123.775291071,13480.6190942691
6.3,-161.45297807,12722.0642889829,13438.4953282646,13479.5370843325,13151.0274560565,13500.9139134343
6.4,-148.03346735,12784.4784846628,13441.9805854064,13497.683246861,13175.2311184076,13519.3892879028
6.5,-135.85260607,12840.7473906603,13444.6098914929,13514.2272445694,13196.7132953287,13536.1527602483
6.6,-124.76758126,12891.4723674746,13446.5237102811,13529.3314887138,13215.855872682,13551.3447942401
6.7,-114.67394494,12937.2042964122,13447.8559212901,13543.1298587823,13232.9244147575,13565.1212168467
6.8,-105.47814663,12978.4326059214,13448.7008986238,13555.7167288913,13248.188875379,13577.6202971083
6.9,-97.09492048,13015.6203874675,13449.1486268715,13567.2698734897,13261.8928713622,13588.9320196078
7,-89.44820061,13049.1319689407,13449.2561694451,13577.8244085153,13274.1593085109,13599.1792901552
7.1,-82.32780459,13079.5094526677,13449.2364167251,13587.6151718227,13285.3108145334,13608.5749991184
7.2,-75.95177792,13106.7791756189,13448.8523361149,13596.4709731948,13295.2420415979,13616.9479563052
7.3,-70.1287469,13131.4239819797,13448.2795073279,13604.589339813,13304.1944118158,13624.5395838081
7.4,-64.80267533,13153.6874885846,13447.5640200296,13612.0602562665,13312.3018046999,13631.4618136782
7.5,-59.92635192,13173.8242860146,13446.7409901577,13618.8749435692,13319.6212836561,13637.6839194801
7.6,-55.46123585,13192.0450699209,13445.8016387449,13625.156307525,13326.2757544818,13643.350754467
7.7,-51.36936077,13208.5649254256,13444.8293661237,13630.9438535551,13332.3047226046,13648.5018240665
7.8,-47.61710393,13223.5506532561,13443.7934458651,13636.2726976035,13337.8091463602,13653.1722442223
7.9,-44.17378632,13237.138327686,13442.6982674527,13641.1472291664,13342.7934152384,13657.4102993544
8,-41.01126575,13249.5145021501,13441.5767520886,13645.6442643631,13347.3343453651,13661.2708581205
8.1,-38.10591344,13260.7647717539,13440.4486524803,13649.7835559076,13351.4955843714,13664.7736732343
8.2,-35.43374509,13271.0054580572,13439.3205528783,13653.6155829739,13355.2837165141,13667.9692238699
8.3,-32.97469396,13280.3660510827,13438.21220599,13657.1600982758,13358.7623894242,13670.8992101967
8.4,-30.73424923,13288.9058089906,13437.0731326477,13660.4105175629,13361.9250188577,13673.5351005211
8.5,-28.62185004,13296.760806048,13435.9955122072,13663.4370727292,13364.8857316323,13676.0129691041
8.6,-26.71000609,13303.9025105615,13434.8849705772,13666.2112320751,13367.5501536627,13678.216494411
8.7,-24.93185566,13310.4889442411,13433.8556345503,13668.8251749252,13370.0324117418,13680.281750684
8.8,-23.28897907,13316.5179123702,13432.8175195498,13671.2108641772,13372.3083636722,13682.1626482826
8.9,-21.77047315,13322.0881785113,13431.8035467469,13673.4451159195,13374.4109306372,13683.8921083777
9,-20.36504468,13327.2129111528,13430.8268846358,13675.5191511847,13376.3532811252,13685.4832994513
10,-10.83719871,13361.5606909675,13422.7502182057,13689.9166870106,13389.5437064752,13696.1058716105
11,-6.11292482,13378.732386133,13417.3379737999,13697.3876034641,13396.1367244053,13701.2284095164
12,-3.61591664,13388.1061476344,13413.6749421966,13701.3622890354,13399.5846708613,13703.8204049046
13,-2.22167304,13393.7225034597,13411.3463163566,13703.7304203092,13401.6235901889,13705.354532585
14,-1.40649978,13397.3328611409,13409.8648625983,13705.2777164592,13402.951411708,13706.3750896197
15,-1.04735363,13399.6285657912,13408.78065792,13706.2126783946,13403.732741398,13706.9588921407
