Sr-O,2^2 A’,3^2 A’,4^2 A’,1^2 A’’,2^2 A’’
1.85,0.232760813299447,2.72796031251677,3.4029026095754,0.370701486363,2.504957073509
1.9,0.137559337480368,2.79670940553295,3.59286227156494,0.315136976763,2.673547816116
1.95,0.337904850949191,2.84010780297394,3.79203237766,0.223201039476,2.78539267646
2,0.528040899903167,2.86704651404812,3.93648995213038,0.119822096855,2.845409200497
2.05,0.689989750978616,2.89862884047364,4.01800490409207,0.033383958128,2.871346612322
2.1,0.833195011661265,2.94722637104179,4.05233044565031,0.022273817874,2.875342328537
2.15,0.965797505808554,3.01749727237505,4.05489117697503,0.046600894895,2.864455376979
2.2,1.09271918039223,3.11123254579687,4.03559308270333,0.044906676867,2.843204400244
2.25,1.2165835948967,3.22934971132243,4.00014492521984,0.023519241712,2.814876924723
2.3,1.33941768384995,3.36804235775544,3.95122980803986,0.072600172116,2.782782738384
2.35,1.45931918719006,3.54184881312932,3.89548512800512,0.029512710011,2.747111859618
2.4,1.57884723148625,3.74073834466177,3.83815852256454,0.024747564827,2.711659973587
2.45,1.69685133142795,3.96041623609965,3.78308678973579,0.083269503447,2.678224924588
2.5,1.81216645474056,4.19713135880926,3.73585328418468,0.143517753531,2.64861302625
2.55,1.92340305645156,4.44630807924389,3.70359915565654,0.203933869732,2.624579699705
2.6,2.02896592340792,4.70245245290032,3.69435718786431,0.263565555344,2.607845580424
2.65,2.1271152191905,4.95929880457365,3.71565802977623,0.321953403856,2.600138302442
2.7,2.21606269874802,5.21017101489794,3.77253159145072,0.379062904865,2.603246426793
2.75,2.29410131911266,5.44860054058737,3.86561274290082,0.435186475109,2.619057908201
2.8,2.35975637372019,5.669109169248,3.99048386402701,0.490738629961,2.649526754191
2.85,2.41190860642852,5.86786138566563,4.13889658929676,0.546061517677,2.696572292471
2.9,2.44985327573308,6.04288669894681,4.3013339274812,0.601233572423,2.761903546707
2.95,2.47327930426091,6.19378972923822,4.46940967204732,0.655997121522,2.846833965762
3,2.48220575835304,6.32119548200978,4.63704153755465,0.709776262283,2.952103296269
3.05,2.47692199865387,6.42623309311108,4.80039048033254,0.761734310563,3.077696500145
3.1,2.45796124293752,6.51020643354674,4.95722105491602,0.810816570493,3.222636604361
3.15,2.42609971387578,6.57443475731908,5.10616431994184,0.855810505563,3.384802346491
3.2,2.38237348981612,6.62019645107588,5.24627938682753,0.895417151947,3.56083112733
3.25,2.32807463124748,6.64871398966835,5.37681227536315,0.928403127845,3.746255166715
3.3,2.26470730025435,6.66115528974237,5.4971514829647,0.953799747305,3.935922788789
3.35,2.19389634254291,6.65864641315706,5.60685099177291,0.971089438619,4.124633675853
3.4,2.11726699693301,6.64230474101711,5.70565061483734,0.980301855591,4.307801602183
3.45,2.0363323718358,6.61328601360705,5.79345804888263,0.98197590438,4.481921233262
3.5,1.95241856955551,6.57284009643123,5.87029887468403,0.977013328365,4.644731779899
3.55,1.86440908770033,6.46500356976445,5.68936055911153,1.006700553985,4.75976195008
3.6,1.77765851391277,6.42034269519565,5.73901401395234,0.988961178718,4.899343270593
3.65,1.69047018197635,6.37105457663263,5.77729044771339,0.967679646141,5.026424110986
3.7,1.60354527924319,6.31864964095762,5.80408602377697,0.943677576994,5.141699843481
3.75,1.51742595954544,6.26489673064364,5.8194743616768,0.917699577679,5.246096082752
3.8,1.43254360803178,6.21164193223147,5.8235396251265,0.890356179119,5.340621164822
3.85,1.34924638456537,6.16073620619366,5.81633204808838,0.862128478182,5.426275615441
3.9,1.26781860322466,6.11399108869932,5.7978349877911,0.833388123381,5.504001925349
3.95,1.18849499093708,6.07314929158817,5.76793319719691,0.804419681601,5.574661021714
4,1.11147163242818,6.03986652577422,5.72637802378919,0.775440625857,5.639024725182
4.05,1.03691412481163,6.01569724605789,5.67275900151549,0.746617686618,5.697777253403
4.1,0.964963200464301,6.00208407655677,5.60647328228994,0.718079359489,5.751522408381
4.15,0.895740193393229,6.00033536494894,5.52671045124485,0.689925538227,5.800790331161
4.2,0.829349607159404,6.01159010938452,5.43244719001224,0.662234321201,5.846046669801
4.25,0.765881062278846,6.03676927575547,5.32245343074868,0.635067116511,5.887701938614
4.3,0.705411493787994,6.07648850855311,5.19533966399153,0.608472588955,5.926117337092
4.35,0.648005475464682,6.13094788018413,5.04964215960292,0.582489287782,5.961612194083
4.4,0.593716176782956,6.1997908063951,4.8839701693551,0.557147694294,5.994469692174
4.45,0.542585276929121,6.28195408250574,4.69722464214012,0.532471747307,6.024941498312
4.5,0.494643708320812,6.37553627350694,4.48889241621973,0.508479982305,6.05325215057
4.55,0.449911910076125,6.47774080898528,4.2593874425286,0.485186507168,6.079602242026
4.6,0.408400293750248,6.58495070782538,4.01037578171929,0.462601468358,6.104171790024
4.65,0.37010948978617,6.69298309209392,3.74498036400708,0.440731702421,6.127122234615
4.7,0.335030681126533,6.79751901613422,3.4677469822538,0.419581059246,6.148598978839
4.75,0.303145019166625,6.89462565728168,3.18431513007318,0.399150809543,6.168733014727
4.8,0.274422493591976,6.98123680831644,2.90081717179648,0.379439692756,6.187642510013
4.85,0.248819067477491,7.05545830110961,2.6231413862388,0.360444405571,6.20543412024
4.9,0.226272215021447,7.1166156790151,2.35627817487755,0.342159596068,6.222204223386
4.95,0.206694491910952,7.16508294971216,2.10387953698166,0.32457809751,6.238039914215
5,0.18996557846124,7.20198087495388,1.86809294788964,0.307691140182,6.25301988952
5.05,0.175924463075505,7.22885235658364,1.64961891743381,0.291488319395,6.26721532359
5.1,0.164364249181847,7.24739072070495,1.44787891313749,0.27595800585,6.28069053913
5.15,0.155032380392514,7.25925115320476,1.26118291742143,0.26108722338,6.293503615113
5.2,0.147638382663232,7.26594574091853,1.08676019259524,0.246862000229,6.30570716623
5.25,0.141868603530933,7.26880114067985,0.920507452836624,0.233267238841,6.317348680291
5.3,0.137405311004164,7.26895321042587,0.756108678666082,0.220287241559,6.328470995097
5.35,0.133945379794792,7.26732817099852,0.582629201969357,0.207905491333,6.339112974667
5.4,0.131215470169504,7.26439139843949,0.377692354520829,0.196104878212,6.349309536879
5.45,0.128981030541494,7.25794389602525,0.109914599162518,0.184867809669,6.359092619412
5.5,0.127049801969636,7.21230812885218,0.680049883744505,0.174176424181,6.368490776611
5.55,0.125270570942161,5.40698527755383,4.80079533287323,0.164012499392,6.377530031919
5.6,0.123529083543654,1.81704484692201,6.9854895119262,0.154357749604,6.386233893645
5.65,0.12174290259229,1.15856823955887,7.11220656178652,0.145193813862,6.39462375373
