Sr-O,1^2 A’,2^2 A’,3^2 A’,4^2 A’,1^2 A’’,2^2 A’’
3.25,-4677.44754173,1428.31236944446,7852.22509320633,9119.80082685673,6158.31988806491,8514.53368838543
3.3,-4388.058848,1888.55725573267,8197.57500995355,9429.63974824325,6532.99161556674,8858.83012690209
3.35,-4115.21690262,2340.74742304639,8529.38334194888,9723.04001974075,6890.21510987266,9185.78806953826
3.4,-3858.57991732,2783.77671923915,8847.70715257938,10000.2781793796,7229.93769706678,9495.53042208522
3.45,-3617.57433397,3216.82430919959,9152.69129512312,10261.7843974355,7552.45786266001,9788.46540736308
3.5,-3391.6223143,3639.10008425166,9444.4455068768,10507.9537282527,7858.1926084335,10064.9880796974
3.55,-3180.02408258,4052.32253076262,9722.14236849735,10737.5856455995,8170.2591973306,10311.0586469332
3.6,-2982.07611936,4451.52054832386,9989.96287170489,10953.4126086211,8444.88341411308,10556.2513156394
3.65,-2796.98347446,4838.76817220061,10245.1745573292,11155.8625928578,8704.59432968216,10786.816000161
3.7,-2623.96945116,5213.99297576943,10487.9683683137,11345.499648123,8950.19741594405,11003.404540159
3.75,-2462.48912449,5576.88769456461,10718.3004097411,11522.7188287485,9182.19746457089,11206.4339374331
3.8,-2311.72059272,5927.48305499652,10936.4428301207,11688.165390126,9401.37141571919,11396.5713948494
3.85,-2170.97154831,6265.8602627058,11142.718257192,11842.4911719476,9608.45889892835,11574.5126470111
3.9,-2039.57801996,6592.02151242177,11337.3922552389,11986.2909504371,9804.12053281401,11740.8963650658
3.95,-1916.9760731,6906.04800977881,11520.7216095966,12120.1507228761,9988.92036720213,11896.3304937756
4,-1802.41714629,7208.17678736726,11693.1408800245,12244.8123135147,10163.6221737983,12041.5788048337
4.05,-1695.38441304,7498.52416673422,11855.0078101749,12360.8309931617,10328.7153810322,12177.2624114593
4.1,-1595.41633952,7777.21305368969,12006.6208855462,12468.7466694206,10484.7179490329,12303.8992737755
4.15,-1501.98452088,8044.50242828584,12148.3707709804,12569.1475343023,10632.1522274135,12422.1214787231
4.2,-1414.62735854,8300.59640193584,12280.6810525277,12662.6108060901,10771.5295920902,12532.5062445915
4.25,-1333.03230636,8545.60910143876,12403.7975417457,12749.5139811311,10903.1836444743,12635.4749626517
4.3,-1256.57346165,8780.0519027109,12518.3413518786,12830.5659625109,11027.7574452655,12731.736535989
4.35,-1184.98873291,9004.11135915606,12624.6526685817,12906.1727782826,11145.591180113,12821.6750451886
4.4,-1117.93605398,9218.02889289186,12723.0826512757,12976.7075353225,11257.0360084499,12905.6855446011
4.45,-1055.09884474,9422.12054738249,12814.0570807402,13042.5740669546,11362.4738161258,12984.2377099298
4.5,-996.18425574,9616.66725013571,12897.9666218046,13104.0971956165,11462.2074781165,13057.6783110741
4.55,-940.95298041,9801.98723939495,12975.2392500339,13161.6390544816,11556.5991275893,13126.3914286755
4.6,-889.06467801,9978.41411659634,13046.296356693,13215.4015601901,11645.9165235821,13190.6667692277
4.65,-840.37271202,10146.259535708,13111.5593330902,13265.6524717926,11730.4713200819,13250.8379341731
4.7,-794.63693653,10305.8241769763,13171.4605442369,13312.5607847646,11810.4983549246,13307.1836562964
4.75,-751.65855878,10457.4591998095,13226.4389394073,13356.2801313388,11886.2609976897,13359.9673051458
4.8,-711.25421756,10601.4630897122,13276.9246888708,13396.9114698574,11957.9918914715,13409.4215238468
4.85,-673.25390672,10738.1606691283,13323.3304049249,13434.6040430444,12025.9500163345,13455.7833449772
4.9,-637.50021678,10867.8635920509,13366.0335839668,13469.3841878891,12090.2714465647,13499.232737759
4.95,-603.84720606,10990.8966809176,13405.446838263,13501.4011471096,12151.2371096635,13540.0067347764
5,-572.1592471,11107.5276947854,13441.8598743569,13530.7251526122,12208.9830799293,13578.2414103089
5.05,-542.31073216,11218.1297405365,13475.5799567269,13557.4878891682,12263.6849370631,13614.1342915317
5.1,-514.18441431,11322.9266822919,13506.8748444236,13581.7815361209,12315.5445977236,13647.8214527121
5.15,-487.67148316,11422.2301740132,13536.0122964913,13603.7421677437,12364.7200836337,13679.4828630407
5.2,-462.6708091,11516.2970010233,13563.1393609249,13623.4729370954,12411.3145478771,13709.1997281209
5.25,-439.08812274,11605.4190646014,13588.4601491503,13641.1121132287,12455.5101544051,13737.1103169989
5.3,-416.83555555,11689.8641237795,13612.154630358,13656.8177178474,12497.4429774785,13763.3507039295
5.35,-395.83121227,11769.8472636923,13634.3281523613,13670.6950987835,12537.2403123849,13788.0262367319
5.4,-375.99860795,11845.5989327233,13655.1233736901,13682.8649670988,12574.9789752499,13811.2137315381
5.45,-357.2665419,11917.3693319451,13674.6149157096,13693.5336289359,12610.8433247792,13833.0536521177
5.5,-339.56854132,11985.3779359698,13692.8027784075,13702.810821604,12644.8992033272,13853.5898933756
5.55,-322.84871163,12049.8003245294,13708.5017987946,13712.1670251397,12677.2344007723,13872.9102451779
5.6,-307.02889227,12110.8274405364,13716.4380014677,13727.0166787031,12707.9520701858,13891.0959131402
5.65,-292.07471611,12168.6897323555,13721.999488629,13742.1911547167,12737.1509751491,13908.2237133696
5.7,-277.9321204,12223.5210795185,13726.4175129582,13756.5952747743,12764.8991527958,13924.3397355565
5.75,-264.54671042,12275.5124249501,13729.8171749945,13770.2005071762,12791.2997562034,13939.5251852979
5.8,-251.87740352,12324.8349588613,13732.3696649552,13783.0683048116,12816.4142382738,13953.8634629638
5.85,-239.88230124,12371.5984185802,13734.1188777765,13795.2425626168,12840.3303888604,13967.3545685603
5.9,-228.52235425,12415.9717995571,13735.1460190491,13806.7386438094,12863.0855186429,13980.0797076907
5.95,-217.76089382,12458.0823970858,13735.4905942255,13817.6180012914,12884.7630279912,13992.0783857949
6,-207.56378248,12498.0509222094,13735.2513668747,13827.9135562523,12905.3958380886,14003.4054715183
6.1,-188.70802431,12572.0445994332,13733.2190317851,13846.9068908502,12943.7907301044,14024.176550631
6.2,-171.77456992,12638.7846401051,13729.3979784528,13863.9359275044,12978.6850017482,14042.6541198538
6.3,-156.53032347,12699.1182162693,13724.1964296855,13879.2552567711,13010.4429809102,14059.1586121284
6.4,-142.793204,12753.7147255775,13717.8667813162,13893.0733795659,13039.3829058088,14073.8765809083
6.5,-130.4024768,12803.16016528,13710.6438711934,13905.5153964155,13065.7615617546,14087.0428640422
6.6,-119.21569079,12848.0141957068,13702.7800951562,13916.7459133055,13089.8752395102,14098.8220675156
6.7,-109.10664187,12888.7640505205,13694.4115274593,13926.9010045032,13111.9039082604,14109.3941605132
6.8,-99.96359322,12925.8333157652,13685.7203320604,13936.0969915619,13132.0955743544,14118.8535171263
6.9,-91.68600889,12959.6148510246,13676.7921040524,13944.4194695808,13150.6016752707,14127.3515748524
7,-84.18614217,12990.4159207956,13667.7146333014,13951.956228426,13167.5538957991,14134.9761235512
7.1,-77.38832388,13018.5854897382,13658.6393572859,13958.8148106524,13183.1475683607,14141.8566532394
7.2,-71.2142243,13044.373758925,13649.6408974025,13965.091785112,13197.5231567185,14148.0897327754
7.3,-65.60427152,13067.9958135031,13640.6709692127,13970.7608148407,13210.742113762,14153.6929201124
7.4,-60.50175358,13089.6908808171,13631.8810102261,13975.9294424121,13222.9339295392,14158.7518103684
7.5,-55.85634253,13109.6367353223,13623.2732151846,13980.6876524216,13234.2105361073,14163.3563881387
7.6,-51.62269646,13127.9935934894,13614.8541683199,13985.020081639,13244.6224126153,14167.5132376489
7.7,-47.76024851,13144.932645542,13606.6633750783,13988.9881829787,13254.2529594395,14171.3057592814
7.8,-44.23247656,13160.5372918313,13598.7183934192,13992.6314618557,13263.1636294693,14174.7295635276
7.9,-41.00732563,13175.0116437768,13591.0477550611,13996.0003974566,13271.448796815,14177.8790244977
8,-38.05520971,13188.3688698417,13583.5987860695,13999.0862107706,13279.1216299273,14180.723415719
8.1,-35.35051074,13200.7669917739,13576.4417183384,14001.9152387742,13286.2523607004,14183.3329690855
8.2,-32.86977764,13212.2718519463,13569.5326569379,14004.5313763723,13292.8629365962,14185.7076845972
8.3,-30.5921326,13222.9514875112,13562.8737966224,14006.9587658,13299.0433422163,14187.8936519259
8.4,-28.49831148,13232.9156357715,13556.5090323091,14009.2193545002,13304.8155250225,14189.9128185272
8.5,-26.57154286,13242.1774652219,13550.3856900948,14011.3043634995,13310.1926534907,14191.7564054338
8.6,-24.79817653,13250.8445184172,13544.5454701613,14013.2335455116,13315.216427809,14193.4441653532
8.7,-23.16206296,13258.9102111195,13538.9159458601,14015.0442112161,13319.9241586444,14195.0353564269
8.8,-21.65166445,13266.4513594546,13533.5300384059,14016.7034394295,13324.3048722941,14196.4531625476
8.9,-20.25634766,13273.522832074,13528.3987215203,14018.2660988034,13328.4134373907,14197.7963472907
9,-18.96605922,13280.1597449339,13523.4912687678,14019.745357826,13332.3069173527,14199.0561316762
10,-10.21820014,13328.0776412003,13484.9361602626,14030.0672497386,13360.340412022,14207.6441740039
11,-5.85764047,13354.9896205055,13460.1838113344,14035.4707151585,13376.0372376547,14211.8844238778
12,-3.53433947,13371.0046843567,13444.001946762,14038.4270384495,13385.3144303291,14214.0945334164
13,-2.22698268,13381.2058652324,13433.3310901893,14040.2881833218,13391.2358558845,14215.4508866416
14,-1.4566153,13387.9788523533,13426.167438214,14041.5523571972,13395.2215151899,14216.3858485707
15,-0.98481496,13392.6273250473,13421.2248695239,14042.4478136988,13397.9825060537,14217.0618304414
