2.00 4.0102879D+07
2.25 7.4978259D+06
2.50 4.7318409D+06
2.75 5.9491076D+07
3.00 3.8405623D+06
3.05 2.8951188D+06
3.10 2.2224555D+06
3.15 1.7195622D+06
3.20 1.3353377D+06
3.25 1.0412739D+06
3.30 8.1731735D+05
3.35 6.4721806D+05
3.40 5.1776782D+05
3.45 4.1865041D+05
3.50 3.4208588D+05
3.55 2.8231705D+05
3.60 2.3511304D+05
3.65 1.9737269D+05
3.70 1.6682804D+05
3.75 1.4182165D+05
3.80 1.2113693D+05
3.85 1.0387299D+05
3.90 89352.81520837
3.95 77060.52641991
4.00 66597.95676197
4.05 57653.18772389
4.10 49978.30545625
4.15 43373.95457579
4.20 37677.38673312
4.25 32754.65269604
4.30 28493.19972474
4.35 24799.73133376
4.40 21594.62530309
4.45 18810.32499103
4.50 16389.47846985
4.55 14282.80452618
4.60 12448.12283217
4.65 10849.18804144
4.70 9454.79237460
4.75 8238.01929862
4.80 7175.61934001
4.85 6247.48675776
4.90 5436.21824978
4.95 4726.87475002
5.00 4106.12221090
5.05 3562.76494530
5.10 3086.96637501
5.15 2670.22025348
5.20 2305.09213779
5.25 1985.14941301
5.30 1704.60741226
5.35 1458.95311722
5.40 1243.75083853
5.45 1055.29056625
5.50 890.33108337
5.55 746.03810836
5.60 619.91077246
5.65 509.80914349
5.70 413.80700037
5.75 330.22636896
5.80 257.59168389
5.85 194.60359205
5.90 140.11745268
5.95 93.29902158
6.00 52.90386335
6.10 -11.14631572
6.20 -57.13234740
6.30 -89.17841836
6.40 -110.72921826
6.50 -123.93729367
6.60 -131.00394335
6.70 -133.49986410
6.80 -132.65271932
6.90 -129.37160427
7.00 -124.49519221
7.10 -118.54308032
7.20 -111.95378204
7.30 -105.04022434
7.40 -98.04815853
7.50 -91.15188327
7.60 -84.58155789
7.70 -78.20358491
7.80 -72.17585403
7.90 -66.52728639
8.00 -61.26840621
8.10 -56.39777579
8.20 -51.90604527
8.30 -47.77590744
8.40 -43.98802543
8.50 -40.52029015
8.60 -37.34928906
8.70 -34.45256242
8.80 -31.80659861
8.90 -29.39008681
9.00 -27.18301076
9.10 -25.16642545
9.20 -23.32291329
9.30 -21.63622457
9.40 -20.09161792
9.50 -18.67637702
